CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ADN,APC,ASIP,CTC,CAMPO,C-A,CREEMOS,DECIDE,UN,FPV,FE,GH,MATICO,MAS-IPSP,DEMOCRATAS,MNR,MSP,MTS,NEGROS,NED,PAN-BOL,PACHO,PC,SPT,SOL,SAN JUAN XXI,SCB,TPP,T.P.R.,UCS,UNIDOS,UNIR.BO,VPT,VOCES,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
7000472,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1007,Col. Hnas. Arredondo (Col. Jesus Peredo),11,220,0,0,1,0,0,0,144,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,192,2,3,197,192,197
7001132,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1004,Col. Mirette Sciaroni,5,220,0,0,0,0,0,0,156,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,172,0,5,177,172,177
7001262,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1015,Esc. Aponte Tineo (Esc. Gregorio Moreno),6,220,0,0,1,0,0,0,162,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,188,1,0,189,188,189
7001272,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1015,Esc. Aponte Tineo (Esc. Gregorio Moreno),7,220,0,0,1,0,0,0,162,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,184,0,3,187,184,187
7001282,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1015,Esc. Aponte Tineo (Esc. Gregorio Moreno),8,220,0,0,1,0,0,0,158,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,184,2,2,188,184,188
7001292,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,1015,Esc. Aponte Tineo (Esc. Gregorio Moreno),9,220,0,0,0,0,0,0,168,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,182,1,1,184,182,184
7003512,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5019,Col. Luz Y Saber II,4,220,0,0,2,0,0,0,132,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,183,1,7,191,183,191
7003542,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5019,Col. Luz Y Saber II,7,220,0,0,3,0,0,0,120,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,170,2,14,186,170,186
7006362,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5005,Col. Villa Bolivia,19,220,0,0,0,0,0,0,141,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,176,3,5,184,176,184
7006382,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5005,Col. Villa Bolivia,21,220,0,0,1,0,0,0,140,0,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,183,2,3,188,183,188
7006772,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,3000,Colegio Marista,2,220,0,0,0,0,0,0,157,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,177,0,1,178,177,178
7006892,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,2004,Col. Republica del Uruguay,4,220,0,0,0,0,0,0,156,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,186,1,1,188,186,188
7007072,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,2003,Col. Gaston Guillaux,8,220,0,0,0,0,0,0,136,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,163,1,1,165,163,165
7007082,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,2003,Col. Gaston Guillaux,9,220,0,0,1,0,0,0,108,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,151,4,4,159,151,159
7008592,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,2012,Col. Gualberto Villarroel,14,220,0,0,1,0,0,0,153,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,182,1,3,186,182,186
7009982,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,2009,Col. Wenseslao Montero,14,220,0,0,0,0,0,0,164,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,188,1,7,196,188,196
7011532,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5001,Colegio Josefina Balsamo( Los Tusequis),10,220,0,0,2,0,0,0,137,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,172,3,6,181,172,181
7011542,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5001,Colegio Josefina Balsamo( Los Tusequis),11,220,0,0,0,0,0,0,136,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,176,3,3,182,176,182
7011562,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5001,Colegio Josefina Balsamo( Los Tusequis),13,220,0,0,0,0,0,0,150,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,182,2,3,187,182,187
7013182,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,3022,Col. Juan Pablo II,18,124,0,0,2,0,0,0,85,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,98,0,3,101,98,101
7013192,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,26403,U.E. Hilarión Tomelicht Ardaya I,1,18,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,15,14,15
7014022,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,11068,16 de Julio,5,220,0,0,1,0,0,0,115,0,0,0,0,0,0,56,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,180,6,3,189,180,189
7014452,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,11067,Luz Del Mundo C,1,220,0,0,1,0,0,0,140,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,185,3,5,193,185,193
7014502,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,11067,Luz Del Mundo C,6,168,0,0,2,0,0,0,96,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,136,1,6,143,136,143
7014832,GOBERNADOR(A),32,Bolivia,7,Santa Cruz,1,Andrés Ibáñez,1,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6015,Col. Esc. Gral. Ismael Montes Gamboa,18,220,0,0,1,0,0,0,115,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,178,7,6,191,178,191
