CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ARI,C-A,FPV,SUMATE,JESUCA,MAS-IPSP,MTS,PARCA,PAN-BOL,PDC,PPS,SOMOS,UCS,UNE,UNPA,UPC,UNIDOS.CBBA,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
3000012,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,1,220,0,6,0,99,0,39,18,0,1,0,0,2,0,0,0,0,15,180,7,1,188,180,188
3000032,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3,220,0,6,0,104,0,30,10,0,2,1,0,1,0,0,0,0,17,171,6,2,179,171,179
3000042,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,4,220,0,2,0,92,0,42,18,0,0,1,0,1,0,0,0,0,17,173,8,6,187,173,187
3000052,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,5,220,0,8,1,76,0,33,18,0,2,1,0,1,0,0,0,0,29,169,5,7,181,169,181
3000072,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,7,220,0,5,0,102,0,49,11,0,4,0,0,2,0,0,0,0,8,181,2,4,187,181,187
3000102,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,10,220,0,4,0,104,0,33,8,0,1,4,0,2,0,0,0,0,17,173,10,4,187,173,187
3000112,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,11,220,0,10,0,94,0,32,17,0,0,0,0,0,0,0,0,0,11,164,6,5,175,164,175
3000132,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,13,220,0,10,0,92,0,37,19,0,1,0,0,2,0,0,0,0,15,176,3,3,182,176,182
3000142,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,14,220,0,4,0,109,0,29,13,0,1,2,0,2,0,0,0,0,16,176,5,6,187,176,187
3000152,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,15,220,0,4,1,104,0,42,19,0,2,1,0,3,0,0,0,0,11,187,4,2,193,187,193
