CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ARI,C-A,FPV,SUMATE,JESUCA,MAS-IPSP,MTS,PARCA,PAN-BOL,PDC,PPS,SOMOS,UCS,UNE,UNPA,UPC,UNIDOS.CBBA,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
3000112,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,11,220,0,10,0,94,0,32,17,0,0,0,0,0,0,0,0,0,11,164,6,5,175,164,175
3000152,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,15,220,0,4,1,104,0,42,19,0,2,1,0,3,0,0,0,0,11,187,4,2,193,187,193
3000172,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,1,220,0,8,0,75,0,61,15,0,1,3,0,0,0,0,0,0,13,176,5,8,189,176,189
3000182,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,2,220,0,4,0,84,0,47,21,0,1,2,0,1,0,0,0,0,19,179,8,2,189,179,189
3000192,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,3,220,0,6,0,84,0,43,24,0,0,2,0,1,0,0,0,0,18,178,3,8,189,178,189
3000202,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,4,220,0,0,2,73,0,64,12,0,1,3,0,2,0,0,0,0,9,166,5,7,178,166,178
3000252,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,9,220,0,5,0,91,0,56,14,0,2,0,0,0,0,0,0,0,4,172,7,4,183,172,183
3000312,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,15,220,0,6,1,88,0,37,20,0,3,2,0,1,0,0,0,0,15,173,8,4,185,173,185
3000322,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,16,220,0,6,0,88,0,54,11,0,0,2,0,1,0,0,0,0,10,172,6,8,186,172,186
3000342,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,18,220,0,5,0,85,0,51,14,0,1,2,0,0,0,0,0,0,21,179,7,3,189,179,189
3000362,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,1,220,0,6,1,97,0,46,19,0,2,1,0,1,0,0,0,0,12,185,5,6,196,185,196
3000372,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,2,220,0,4,1,105,0,44,18,0,0,1,0,2,0,0,0,0,13,188,5,3,196,188,196
3000382,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,3,220,0,10,0,108,0,41,15,0,0,2,0,1,0,0,0,0,11,188,6,2,196,188,196
3000402,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,5,220,0,7,0,112,0,31,21,0,0,2,0,1,0,0,0,0,9,183,4,5,192,183,192
