CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ARI,C-A,FPV,SUMATE,JESUCA,MAS-IPSP,MTS,PARCA,PAN-BOL,PDC,PPS,SOMOS,UCS,UNE,UNPA,UPC,UNIDOS.CBBA,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
3000172,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,1,220,0,8,0,75,0,61,15,0,1,3,0,0,0,0,0,0,13,176,5,8,189,176,189
3000182,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,2,220,0,4,0,84,0,47,21,0,1,2,0,1,0,0,0,0,19,179,8,2,189,179,189
3000252,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,9,220,0,5,0,91,0,56,14,0,2,0,0,0,0,0,0,0,4,172,7,4,183,172,183
3000342,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,108,Escuela Mixta Fiscal Temporal A,18,220,0,5,0,85,0,51,14,0,1,2,0,0,0,0,0,0,21,179,7,3,189,179,189
3000362,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,1,220,0,6,1,97,0,46,19,0,2,1,0,1,0,0,0,0,12,185,5,6,196,185,196
3000412,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,6,220,0,5,0,98,0,57,16,0,1,0,0,1,0,0,0,0,8,186,8,5,199,186,199
3000422,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,7,220,0,7,0,96,0,42,13,0,1,1,0,2,0,0,0,0,8,170,8,7,185,170,185
3000462,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,11,220,0,8,0,96,0,34,28,0,1,1,0,0,0,0,0,0,12,180,8,7,195,180,195
3000502,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,15,220,0,6,0,115,0,40,9,0,1,0,0,0,0,0,0,0,9,180,5,3,188,180,188
3000532,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,18,220,0,3,1,119,0,35,12,0,0,0,0,1,0,0,0,0,10,181,3,7,191,181,191
3000592,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,109,Colegio Marista,24,220,0,3,0,109,0,28,17,0,1,1,0,0,0,0,0,0,10,169,6,7,182,169,182
3000812,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26439,U. E. Adventista Cochabamba,1,220,0,5,2,109,0,41,15,0,1,1,0,0,0,0,0,0,14,188,1,2,191,188,191
3000832,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26439,U. E. Adventista Cochabamba,3,220,0,8,0,110,0,26,18,0,1,0,0,1,0,0,0,0,14,178,0,4,182,178,182
3000852,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26439,U. E. Adventista Cochabamba,5,220,0,7,0,101,0,25,17,0,3,1,0,0,0,0,0,0,10,164,1,4,169,164,169
3000862,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26439,U. E. Adventista Cochabamba,6,220,0,6,0,103,0,25,15,0,1,0,0,0,0,0,0,0,16,166,4,3,173,166,173
3000872,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26439,U. E. Adventista Cochabamba,7,220,0,4,0,107,0,30,23,0,0,1,0,2,0,0,0,0,18,185,0,4,189,185,189
3000922,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,4,220,0,8,0,88,0,32,16,0,0,2,0,0,0,0,0,0,12,158,4,3,165,158,165
3000932,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,5,220,0,8,0,98,0,21,20,0,0,2,0,1,0,0,0,0,18,168,0,4,172,168,172
3000942,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,6,220,0,5,1,89,0,20,23,0,0,2,0,0,0,0,0,0,13,153,1,5,159,153,159
3000972,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,113,Instituto Eduardo Laredo,9,220,0,4,1,93,0,28,18,0,0,0,0,0,0,0,0,0,15,159,3,1,163,159,163
3001022,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,1,220,0,7,0,94,0,21,23,0,0,2,0,2,0,0,0,0,25,174,2,2,178,174,178
3001032,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,2,220,0,9,0,90,0,24,37,0,0,1,0,0,0,0,0,0,10,171,0,3,174,171,174
3001062,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,5,220,0,4,0,82,0,23,28,0,0,2,0,2,0,0,0,0,12,153,3,11,167,153,167
3001082,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,7,220,0,6,0,90,0,18,23,0,0,0,0,1,0,0,0,0,24,162,0,5,167,162,167
3001092,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,8,220,0,4,0,99,0,22,23,0,0,1,0,1,0,0,0,0,14,164,5,1,170,164,170
3001112,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,10,220,0,6,0,96,0,21,21,0,0,2,0,1,0,0,0,0,19,166,9,2,177,166,177
3001122,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,11,220,0,1,0,101,0,28,24,0,0,0,0,2,0,0,0,0,13,169,4,3,176,169,176
3001142,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,140,Colegio La Salle,13,220,0,8,0,80,0,25,24,0,1,2,0,2,0,0,0,0,21,163,3,2,168,163,168
3001172,GOBERNADOR(A),32,Bolivia,3,Cochabamba,1,Cercado,1,Cochabamba,821,Cochabamba,26446,Colegio Evangelico Emanuel,1,83,0,3,0,51,0,12,4,0,0,0,0,0,0,0,0,0,6,76,2,0,78,76,78
