CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,BSTH,CZM - APG,CST,C-A,UN,FPV,MAS-IPSP,MIM,MNR,MTS,PAN-BOL,R-2025,SOMHOS,T.P.C.,UNIR-VILLA VACA GUZMAN,UNIDOS,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
1003822,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25577,U.E. Cristo Rey,1,106,5,0,39,6,0,0,19,0,0,0,0,0,0,0,0,7,76,4,1,81,76,81
1006782,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26372,Salón Multifuncional Sancho,1,142,3,0,57,4,0,0,39,0,0,0,0,0,0,0,0,11,114,9,11,134,114,134
1010292,GOBERNADOR(A),32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26374,U.E. Kurusa Llawi,1,63,2,0,12,5,0,0,21,0,2,0,0,0,0,0,0,2,44,5,5,54,44,54
1003822,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25577,U.E. Cristo Rey,1,106,3,0,25,11,3,0,18,0,0,0,0,0,0,0,0,11,71,10,0,81,71,81
1006782,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26372,Salón Multifuncional Sancho,1,142,5,0,37,3,1,0,31,0,0,0,0,0,0,0,0,21,98,25,11,134,98,134
1010292,ASAMBLEISTA TERRITORIO,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26374,U.E. Kurusa Llawi,1,63,2,0,9,6,2,0,23,0,0,0,0,0,0,0,0,3,45,4,5,54,45,54
1003822,ASAMBLEISTA POBLACION,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25577,U.E. Cristo Rey,1,106,3,0,24,5,2,0,16,0,0,0,0,0,0,0,0,8,58,23,0,81,58,81
1006782,ASAMBLEISTA POBLACION,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26372,Salón Multifuncional Sancho,1,142,1,0,34,1,0,0,23,0,0,0,0,0,0,0,0,20,79,51,4,134,79,134
1010292,ASAMBLEISTA POBLACION,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26374,U.E. Kurusa Llawi,1,63,1,0,5,6,0,0,16,0,1,0,0,0,0,0,0,3,32,19,3,54,32,54
1003826,ALCALDESA/ALCALDE,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25577,U.E. Cristo Rey,1,106,0,0,4,13,1,0,25,0,0,1,0,35,0,0,0,1,80,1,0,81,80,81
1006786,ALCALDESA/ALCALDE,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26372,Salón Multifuncional Sancho,1,142,0,0,11,6,1,1,50,0,0,0,0,38,0,0,0,10,117,3,14,134,117,134
1010296,ALCALDESA/ALCALDE,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26374,U.E. Kurusa Llawi,1,63,0,0,1,9,1,1,19,0,3,0,1,7,0,0,0,3,45,4,5,54,45,54
1003826,CONCEJALES,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,25577,U.E. Cristo Rey,1,106,0,0,5,15,1,0,18,0,0,1,0,20,0,0,0,5,65,16,0,81,65,81
1006786,CONCEJALES,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26372,Salón Multifuncional Sancho,1,142,0,0,11,5,2,0,34,0,0,0,0,25,0,0,0,10,87,40,7,134,87,134
1010296,CONCEJALES,32,Bolivia,1,Chuquisaca,1,Oropeza,1,Sucre,2794,Sucre,26374,U.E. Kurusa Llawi,1,63,0,0,0,9,0,0,18,0,3,0,1,4,0,0,0,4,39,12,3,54,39,54
