CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ADN,A.A.O.Q,AS,AINI,C-A,CAOCH,C.G.J.A.P.,CONACH-W,FPV,JAY,MAS-IPSP,MCP,DEMOCRATAS,MOP,MTS,PAN-BOL,PSR,PU,UCS,PUKA SUNQU,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
5000012,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,1,220,0,0,16,0,4,0,0,0,2,0,29,0,7,12,3,78,0,0,0,9,160,16,16,192,160,192
5000022,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,2,220,0,0,13,0,2,0,0,0,1,0,38,0,10,21,0,71,0,0,0,10,166,8,16,190,166,190
5000032,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,3,220,0,0,22,0,1,0,0,0,0,0,27,0,11,17,0,77,0,0,0,10,165,12,16,193,165,193
5000042,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,4,220,0,0,25,0,3,0,0,0,0,0,31,0,5,20,0,80,0,0,0,13,177,6,9,192,177,192
5000052,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,5,220,0,0,24,0,1,0,0,0,0,0,33,0,5,13,4,87,0,0,0,8,175,12,12,199,175,199
5000062,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,6,220,0,0,21,0,2,0,0,0,0,0,35,0,4,20,1,90,0,0,0,10,183,6,10,199,183,199
5000072,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,7,220,0,0,22,0,1,0,0,0,1,0,41,0,7,17,2,74,0,0,0,8,173,13,10,196,173,196
5000082,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,8,220,0,0,18,0,3,0,0,0,2,0,36,0,6,16,1,67,0,0,0,10,159,11,14,184,159,184
5000092,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,9,84,0,0,7,0,2,0,0,0,1,0,16,0,0,7,1,25,0,0,0,5,64,3,8,75,64,75
5000102,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,1,220,0,0,25,0,2,0,0,0,0,0,41,0,6,12,1,66,0,0,0,6,159,21,19,199,159,199
5000112,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,2,220,0,0,25,0,3,0,0,0,0,0,36,0,1,11,2,67,0,0,0,9,154,14,8,176,154,176
5000122,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,3,220,0,0,28,0,3,0,0,0,1,0,43,0,5,14,1,65,0,0,0,8,168,14,20,202,168,202
5000132,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,4,220,0,0,25,0,1,0,0,0,0,0,40,0,6,14,0,84,0,0,0,11,181,11,8,200,181,200
5000142,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,5,220,0,0,30,0,2,0,0,0,1,0,45,0,3,10,2,56,0,0,0,7,156,11,18,185,156,185
5000152,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,6,220,0,0,26,0,5,0,0,0,1,0,41,0,4,14,1,68,0,0,0,15,175,11,12,198,175,198
5000162,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,7,220,0,0,24,0,4,0,0,0,1,0,30,0,9,6,0,87,0,0,0,5,166,17,9,192,166,192
5000172,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,8,220,0,0,23,0,2,0,0,0,1,0,38,0,4,23,3,64,0,0,0,12,170,10,9,189,170,189
5000182,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,9,220,0,0,25,0,1,0,0,0,1,0,38,0,7,10,2,70,0,0,0,14,168,8,14,190,168,190
5000192,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,10,220,0,0,25,0,3,0,0,0,1,0,34,0,5,10,1,66,0,0,0,16,161,10,12,183,161,183
5000202,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,11,220,0,0,12,0,4,0,0,0,2,0,50,0,5,11,1,60,0,0,0,12,157,16,17,190,157,190
5000212,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,12,220,0,0,31,0,5,0,0,0,1,0,43,0,1,14,2,52,0,0,0,12,161,19,12,192,161,192
5000222,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,13,220,0,0,21,0,4,0,0,0,1,0,30,0,5,17,2,70,0,0,0,13,163,10,16,189,163,189
5000232,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25040,Unidad Educativa Mejillones,14,220,0,0,21,0,3,0,0,0,1,0,47,0,3,12,1,73,0,0,0,12,173,19,7,199,173,199
