CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ADN,A.A.O.Q,AS,AINI,C-A,CAOCH,C.G.J.A.P.,CONACH-W,FPV,JAY,MAS-IPSP,MCP,DEMOCRATAS,MOP,MTS,PAN-BOL,PSR,PU,UCS,PUKA SUNQU,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
5000492,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25047,U.E. Dr. Gonzalo Calderon Rios,1,220,0,0,32,0,3,0,0,0,1,0,47,0,9,13,3,43,0,0,0,19,170,12,8,190,170,190
5000512,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25047,U.E. Dr. Gonzalo Calderon Rios,3,220,0,0,34,0,2,0,0,0,1,0,51,0,10,8,1,47,0,0,0,9,163,15,16,194,163,194
5000552,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25047,U.E. Dr. Gonzalo Calderon Rios,7,45,0,0,6,0,0,0,0,0,0,0,9,0,1,0,0,9,0,0,0,3,28,6,5,39,28,39
5001012,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25052,U.E. 1º de Mayo San Idelfonso,1,35,0,0,13,0,1,0,0,0,0,0,7,0,2,0,1,4,0,0,0,0,28,2,4,34,28,34
5001032,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,2,220,0,0,20,0,2,0,0,0,0,0,26,0,4,20,1,91,0,0,0,10,174,10,12,196,174,196
5001062,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,15,Esc. Benicio Montero Mallo,5,220,0,0,19,0,4,0,0,0,2,0,32,0,3,12,1,77,0,0,0,10,160,12,19,191,160,191
5001922,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5,220,0,0,29,0,1,0,0,0,1,0,24,0,4,13,1,86,0,0,0,18,177,9,11,197,177,197
5001932,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,6,220,0,0,18,0,2,0,0,0,0,0,28,0,6,8,2,85,0,0,0,6,155,12,19,186,155,186
5001942,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,7,220,0,0,27,0,1,0,0,0,0,0,26,0,3,14,0,86,0,0,0,9,166,11,11,188,166,188
5002002,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5,220,0,0,15,0,3,0,0,0,2,0,44,0,4,12,1,63,0,0,0,7,151,6,14,171,151,171
5002032,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,8,215,0,0,9,0,4,0,0,0,0,0,33,0,6,20,0,81,0,0,0,11,164,4,14,182,164,182
5002332,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,1,220,0,0,19,0,4,0,0,0,2,0,28,0,8,23,0,79,0,0,0,15,178,5,10,193,178,193
5002352,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,10,Coleg. Bancario,3,220,0,0,14,0,3,0,0,0,2,0,34,0,7,21,2,89,0,0,0,6,178,9,7,194,178,194
5002382,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,1,220,0,0,11,0,4,0,0,0,0,0,17,0,6,21,0,104,0,0,0,9,172,6,12,190,172,190
5002402,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,3,220,0,0,19,0,3,0,0,0,2,0,21,0,3,16,3,103,0,0,0,8,178,5,7,190,178,190
