CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ADN,A.A.O.Q,AS,AINI,C-A,CAOCH,C.G.J.A.P.,CONACH-W,FPV,JAY,MAS-IPSP,MCP,DEMOCRATAS,MOP,MTS,PAN-BOL,PSR,PU,UCS,PUKA SUNQU,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
5000012,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,1,220,0,0,16,0,4,0,0,0,2,0,29,0,7,12,3,78,0,0,0,9,160,16,16,192,160,192
5000022,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,2,220,0,0,13,0,2,0,0,0,1,0,38,0,10,21,0,71,0,0,0,10,166,8,16,190,166,190
5000032,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,3,220,0,0,22,0,1,0,0,0,0,0,27,0,11,17,0,77,0,0,0,10,165,12,16,193,165,193
5000042,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,4,220,0,0,25,0,3,0,0,0,0,0,31,0,5,20,0,80,0,0,0,13,177,6,9,192,177,192
5000062,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,6,220,0,0,21,0,2,0,0,0,0,0,35,0,4,20,1,90,0,0,0,10,183,6,10,199,183,199
5000082,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,8,220,0,0,18,0,3,0,0,0,2,0,36,0,6,16,1,67,0,0,0,10,159,11,14,184,159,184
5000092,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,36,Kinder Ismael Montes,9,84,0,0,7,0,2,0,0,0,1,0,16,0,0,7,1,25,0,0,0,5,64,3,8,75,64,75
5000362,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31105,Carrera de Enfermería (Temporal),2,220,0,0,21,0,3,0,0,0,1,0,35,0,3,19,2,84,0,0,0,8,176,9,6,191,176,191
5000372,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31105,Carrera de Enfermería (Temporal),3,220,0,0,12,0,4,0,0,0,1,0,30,0,9,9,1,70,0,0,0,10,146,11,25,182,146,182
5000382,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31105,Carrera de Enfermería (Temporal),4,220,0,0,21,0,2,0,0,0,3,0,33,0,3,12,4,78,0,0,0,7,163,15,16,194,163,194
5000392,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31105,Carrera de Enfermería (Temporal),5,181,0,0,15,0,0,0,0,0,1,0,20,0,4,10,0,79,0,0,0,13,142,8,12,162,142,162
5000492,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25047,U.E. Dr. Gonzalo Calderon Rios,1,220,0,0,32,0,3,0,0,0,1,0,47,0,9,13,3,43,0,0,0,19,170,12,8,190,170,190
5000512,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25047,U.E. Dr. Gonzalo Calderon Rios,3,220,0,0,34,0,2,0,0,0,1,0,51,0,10,8,1,47,0,0,0,9,163,15,16,194,163,194
5000552,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,25047,U.E. Dr. Gonzalo Calderon Rios,7,45,0,0,6,0,0,0,0,0,0,0,9,0,1,0,0,9,0,0,0,3,28,6,5,39,28,39
5000652,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31103,"U. E. Elizardo Perez, Villa Victoria (Temporal)",1,220,0,0,22,0,0,0,0,0,0,0,76,0,4,12,1,41,0,0,0,11,167,14,18,199,167,199
5000662,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31103,"U. E. Elizardo Perez, Villa Victoria (Temporal)",2,220,0,0,27,0,1,0,0,0,2,0,41,0,5,10,2,57,0,0,0,11,156,21,15,192,156,192
5000672,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31103,"U. E. Elizardo Perez, Villa Victoria (Temporal)",3,220,0,0,23,0,5,0,0,0,2,0,41,0,6,8,12,47,0,0,0,6,150,16,19,185,150,185
5000682,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31103,"U. E. Elizardo Perez, Villa Victoria (Temporal)",4,220,0,0,24,0,5,0,0,0,5,0,36,0,6,14,0,64,0,0,0,9,163,13,19,195,163,195
5000692,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31103,"U. E. Elizardo Perez, Villa Victoria (Temporal)",5,220,0,0,34,0,5,0,0,0,0,0,52,0,4,7,3,29,0,0,0,7,141,21,23,185,141,185
5000702,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31103,"U. E. Elizardo Perez, Villa Victoria (Temporal)",6,220,0,0,30,0,1,0,0,0,0,0,48,0,2,10,3,64,0,0,0,12,170,14,11,195,170,195
5000722,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31103,"U. E. Elizardo Perez, Villa Victoria (Temporal)",8,220,0,0,24,0,2,0,0,0,0,0,44,0,3,17,7,57,0,0,0,21,175,16,9,200,175,200
5000742,GOBERNADOR(A),32,Bolivia,5,Potosí,1,Tomás Frías,1,Potosí,1494,Potosí,31103,"U. E. Elizardo Perez, Villa Victoria (Temporal)",10,220,0,0,42,0,3,0,0,0,1,0,48,0,3,14,6,39,0,0,0,11,167,22,11,200,167,200
