CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,CID,FPV,MAS-IPSP,MDA,MTS,P.S.T.,PAN-BOL,PASO,VIDA,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
9000012,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2751,Nueva Esperanza,13,U.E. Nueva Esperanza,1,136,12,0,58,0,44,0,0,1,1,116,4,3,123,116,123
9000022,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,1,220,23,0,65,0,85,1,0,1,4,179,3,9,191,179,191
9000032,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,2,220,42,0,61,0,65,0,0,3,2,173,3,2,178,173,178
9000042,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,3,220,34,0,64,0,71,2,0,2,6,179,5,5,189,179,189
9000052,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,4,146,24,0,33,0,63,1,0,2,0,123,1,0,124,123,124
9000062,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,5,U. E.  America,1,220,39,0,64,0,74,0,0,5,2,184,1,4,189,184,189
9000072,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,5,U. E.  America,2,220,31,0,68,0,67,0,0,2,4,172,4,5,181,172,181
9000082,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,5,U. E.  America,3,182,31,0,52,0,56,2,0,2,1,144,1,8,153,144,153
9000092,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,1,220,12,0,56,0,77,1,0,2,4,152,6,1,159,152,159
9000102,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,2,220,2,0,61,0,70,1,0,3,5,142,5,6,153,142,153
9000112,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,3,220,20,0,59,0,68,2,0,5,3,157,3,6,166,157,166
9000122,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,4,220,23,0,50,0,75,2,0,6,5,161,1,4,166,161,166
9000132,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,5,220,27,0,63,0,74,1,0,1,3,169,2,7,178,169,178
9000142,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,6,69,7,0,22,0,22,0,0,0,2,53,1,2,56,53,56
9000162,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),2,220,16,0,68,0,48,2,0,4,3,141,2,2,145,141,145
9000172,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),3,220,13,0,68,0,52,1,0,2,5,141,1,7,149,141,149
9000182,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),4,220,29,0,44,0,63,1,0,3,1,141,1,1,143,141,143
9000192,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),5,147,17,0,50,0,33,0,0,3,1,104,0,4,108,104,108
9000202,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,1,220,18,0,70,0,51,4,0,6,4,153,4,5,162,153,162
9000212,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,2,220,18,0,67,0,68,1,0,3,6,163,4,9,176,163,176
9000222,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,3,220,19,0,54,0,66,4,0,1,3,147,4,3,154,147,154
9000232,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,4,220,16,0,55,0,61,3,0,4,1,140,2,6,148,140,148
9000242,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,5,220,17,0,69,0,66,1,0,1,3,157,6,4,167,157,167
9000252,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,6,220,20,0,53,0,86,2,0,3,4,168,8,1,177,168,177
9000262,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,7,220,18,0,61,0,71,2,0,3,3,158,6,3,167,158,167
9000272,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,8,220,11,0,55,0,60,4,0,3,4,137,3,7,147,137,147
9000282,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9,220,17,0,65,0,71,7,0,3,1,164,2,1,167,164,167
9000292,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,10,220,13,0,75,0,68,3,0,2,0,161,6,3,170,161,170
9000302,GOBERNADOR(A),32,Bolivia,9,Pando,1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,11,220,13,0,76,0,68,0,0,3,1,161,2,3,166,161,166
