CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,BASTA,COMUNIDAD DE TODOS,FPV,UNIDOS POR TARIJA,ISA,MT,MI ARBOL,MAS-IPSP,MTS,PAN-BOL,TPT,UCS,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
6000122,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,1,197,0,34,0,88,2,0,0,30,0,0,0,0,154,4,10,168,154,168
6000352,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,1,220,0,10,0,46,2,0,0,67,3,0,2,0,130,16,20,166,130,166
6000372,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,3,220,0,7,0,36,3,0,0,77,1,0,2,0,126,11,5,142,126,142
6000382,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,4,228,0,7,0,62,1,0,0,57,4,0,3,0,134,8,17,159,134,159
6000392,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,1,220,0,9,1,60,4,0,0,79,3,0,1,0,157,6,12,175,157,175
6000402,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,2,159,0,9,0,49,1,0,0,48,2,0,2,0,111,4,9,124,111,124
6000572,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,1,220,0,10,0,81,1,0,0,74,3,0,1,0,170,3,4,177,170,177
6000592,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,3,220,0,2,1,81,3,0,0,88,2,0,1,0,178,4,6,188,178,188
6000602,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,4,220,0,2,0,66,1,0,0,79,2,0,1,0,151,15,13,179,151,179
6000612,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,5,220,0,3,0,66,1,0,0,88,3,0,0,0,161,3,15,179,161,179
6000622,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6,220,0,10,0,71,3,0,0,77,5,0,3,0,169,4,7,180,169,180
6000632,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,7,220,0,6,0,58,3,0,0,83,4,0,2,0,156,3,21,180,156,180
6000642,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,8,189,0,6,1,50,0,0,0,79,3,0,0,0,139,7,12,158,139,158
6000702,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,1,220,0,66,1,67,3,0,0,37,0,0,1,0,175,3,5,183,175,183
6000752,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6,220,0,60,0,73,4,0,0,33,1,0,0,0,171,5,6,182,171,182
6000762,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,7,220,0,62,0,67,5,0,0,33,1,0,0,0,168,3,2,173,168,173
6000882,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,4,220,0,62,1,72,6,0,0,27,2,0,0,0,170,1,4,175,170,175
6000892,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,5,220,0,75,0,67,9,0,0,25,0,0,1,0,177,2,1,180,177,180
6000942,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,10,220,0,74,0,67,7,0,0,20,2,0,1,0,171,3,6,180,171,180
