CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,BASTA,COMUNIDAD DE TODOS,FPV,UNIDOS POR TARIJA,ISA,MT,MI ARBOL,MAS-IPSP,MTS,PAN-BOL,TPT,UCS,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
6001812,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31052,U.E. Fe y Alegría Inicial (Kinder) (Temporal),1,220,0,28,1,81,6,0,0,63,0,0,3,0,182,1,5,188,182,188
6001862,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31052,U.E. Fe y Alegría Inicial (Kinder) (Temporal),6,195,0,42,0,62,2,0,0,52,0,0,2,0,160,1,6,167,160,167
6002752,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31053,Coliseo 15 de noviembre (Temporal),2,220,0,22,0,63,2,0,0,84,2,0,0,0,173,7,8,188,173,188
6004422,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,3,220,0,54,0,81,5,0,0,46,0,0,1,0,187,3,6,196,187,196
6004462,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,7,220,0,41,0,82,7,0,0,28,1,0,1,0,160,2,26,188,160,188
6007962,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31060,U.E. Bolivia Inicial (Kinder) (Temporal),1,220,0,33,0,103,3,0,0,41,2,0,1,0,183,2,5,190,183,190
6007972,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31060,U.E. Bolivia Inicial (Kinder) (Temporal),2,220,0,37,0,101,3,0,0,39,0,0,1,0,181,4,5,190,181,190
6001812,ASAMBLEISTA TERRITORIO,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31052,U.E. Fe y Alegría Inicial (Kinder) (Temporal),1,220,0,22,0,54,6,0,0,49,0,0,2,0,133,50,5,188,133,188
6001862,ASAMBLEISTA TERRITORIO,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31052,U.E. Fe y Alegría Inicial (Kinder) (Temporal),6,195,0,31,0,53,5,0,0,44,1,0,2,0,136,26,5,167,136,167
6002752,ASAMBLEISTA TERRITORIO,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31053,Coliseo 15 de noviembre (Temporal),2,220,0,17,0,49,2,0,0,74,4,0,2,0,148,33,7,188,148,188
6004422,ASAMBLEISTA TERRITORIO,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,3,220,0,46,0,69,8,0,0,36,2,0,4,0,165,26,5,196,165,196
6004462,ASAMBLEISTA TERRITORIO,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,7,220,0,27,0,70,11,0,0,22,3,0,3,0,136,23,29,188,136,188
6007962,ASAMBLEISTA TERRITORIO,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31060,U.E. Bolivia Inicial (Kinder) (Temporal),1,220,0,30,0,88,6,0,0,27,4,0,1,0,156,32,2,190,156,190
6007972,ASAMBLEISTA TERRITORIO,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31060,U.E. Bolivia Inicial (Kinder) (Temporal),2,220,0,35,0,77,10,0,0,33,0,0,3,0,158,29,3,190,158,190
6001812,ASAMBLEISTA POBLACION,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31052,U.E. Fe y Alegría Inicial (Kinder) (Temporal),1,220,0,20,0,54,6,0,0,47,0,0,2,0,129,56,3,188,129,188
6001862,ASAMBLEISTA POBLACION,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31052,U.E. Fe y Alegría Inicial (Kinder) (Temporal),6,195,0,28,0,53,5,0,0,42,0,0,5,0,133,31,3,167,133,167
6002752,ASAMBLEISTA POBLACION,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31053,Coliseo 15 de noviembre (Temporal),2,220,0,17,0,49,3,0,0,66,3,0,3,0,141,40,7,188,141,188
6004422,ASAMBLEISTA POBLACION,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,3,220,0,48,0,69,7,0,0,35,3,0,4,0,166,25,5,196,166,196
6004462,ASAMBLEISTA POBLACION,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,7,220,0,33,0,68,7,0,0,21,2,0,5,0,136,25,27,188,136,188
6007962,ASAMBLEISTA POBLACION,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31060,U.E. Bolivia Inicial (Kinder) (Temporal),1,220,0,30,0,82,5,0,0,27,4,0,4,0,152,36,2,190,152,190
6007972,ASAMBLEISTA POBLACION,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31060,U.E. Bolivia Inicial (Kinder) (Temporal),2,220,0,34,0,81,11,0,0,33,0,0,3,0,162,25,3,190,162,190
6001866,ALCALDESA/ALCALDE,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31052,U.E. Fe y Alegría Inicial (Kinder) (Temporal),6,195,2,19,0,83,0,0,0,30,18,1,4,0,157,2,8,167,157,167
6002756,ALCALDESA/ALCALDE,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31053,Coliseo 15 de noviembre (Temporal),2,220,2,15,0,69,0,0,0,67,20,2,2,0,177,4,7,188,177,188
6004406,ALCALDESA/ALCALDE,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,1,220,0,18,0,105,0,0,0,35,20,1,4,0,183,3,2,188,183,188
6004416,ALCALDESA/ALCALDE,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,2,220,1,23,0,115,0,0,0,26,17,2,3,0,187,1,1,189,187,189
6004426,ALCALDESA/ALCALDE,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,3,220,5,35,0,104,0,0,0,29,11,1,3,0,188,2,6,196,188,196
6004466,ALCALDESA/ALCALDE,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,7,220,1,20,0,102,0,0,0,26,13,1,3,0,166,0,23,189,166,189
6007966,ALCALDESA/ALCALDE,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31060,U.E. Bolivia Inicial (Kinder) (Temporal),1,220,2,20,0,125,0,0,0,25,9,0,2,0,183,4,3,190,183,190
6007976,ALCALDESA/ALCALDE,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31060,U.E. Bolivia Inicial (Kinder) (Temporal),2,220,2,20,0,109,0,0,0,36,15,2,1,0,185,1,4,190,185,190
6008006,ALCALDESA/ALCALDE,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31060,U.E. Bolivia Inicial (Kinder) (Temporal),5,220,2,19,0,123,0,0,0,23,18,0,5,0,190,3,1,194,190,194
6001866,CONCEJALES,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31052,U.E. Fe y Alegría Inicial (Kinder) (Temporal),6,195,4,14,0,67,0,0,0,26,16,2,4,0,133,29,5,167,133,167
6002756,CONCEJALES,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31053,Coliseo 15 de noviembre (Temporal),2,220,5,13,0,57,0,0,0,59,15,1,0,0,150,31,7,188,150,188
6004406,CONCEJALES,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,1,220,2,16,0,79,0,0,0,32,11,1,5,0,146,39,3,188,146,188
6004416,CONCEJALES,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,2,220,9,22,0,83,0,0,0,29,12,2,4,0,161,27,1,189,161,189
6004426,CONCEJALES,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,3,220,6,36,0,77,0,0,0,30,11,3,5,0,168,22,6,196,168,196
6004466,CONCEJALES,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,7,220,0,20,0,80,0,0,0,26,12,0,7,0,145,25,19,189,145,189
6007966,CONCEJALES,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31060,U.E. Bolivia Inicial (Kinder) (Temporal),1,220,4,20,0,94,0,0,0,21,11,0,1,0,151,38,1,190,151,190
6007976,CONCEJALES,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31060,U.E. Bolivia Inicial (Kinder) (Temporal),2,220,5,23,0,90,0,0,0,31,10,2,2,0,163,25,2,190,163,190
6008006,CONCEJALES,32,Bolivia,6,Tarija,1,Cercado,1,Tarija,2680,Tarija,31060,U.E. Bolivia Inicial (Kinder) (Temporal),5,220,5,20,0,94,0,0,0,20,15,0,7,0,161,33,0,194,161,194
