CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,BASTA,COMUNIDAD DE TODOS,FPV,UNIDOS POR TARIJA,ISA,MT,MI ARBOL,MAS-IPSP,MTS,PAN-BOL,TPT,UCS,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
6000122,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,1,197,0,34,0,88,2,0,0,30,0,0,0,0,154,4,10,168,154,168
6000132,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,1,220,0,8,1,94,0,0,0,34,3,0,4,0,144,6,14,164,144,164
6000142,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,2,70,0,7,0,28,1,0,0,14,2,0,0,0,52,0,4,56,52,56
6000222,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1868,Junacas Sud,1,U.E. Junacas Sud,2,84,0,3,0,21,0,0,0,27,1,0,1,0,53,4,11,68,53,68
6000352,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,1,220,0,10,0,46,2,0,0,67,3,0,2,0,130,16,20,166,130,166
6000362,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,2,220,0,5,0,59,1,0,0,63,2,0,2,0,132,9,10,151,132,151
6000372,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,3,220,0,7,0,36,3,0,0,77,1,0,2,0,126,11,5,142,126,142
6000382,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1876,Tolomosa Grande,1,U.E. Oscar Zamora,4,228,0,7,0,62,1,0,0,57,4,0,3,0,134,8,17,159,134,159
6000392,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,1,220,0,9,1,60,4,0,0,79,3,0,1,0,157,6,12,175,157,175
6000402,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1877,Tolomosita Centro,1,U.E. Tolomosita,2,159,0,9,0,49,1,0,0,48,2,0,2,0,111,4,9,124,111,124
