CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,BASTA,COMUNIDAD DE TODOS,FPV,UNIDOS POR TARIJA,ISA,MT,MI ARBOL,MAS-IPSP,MTS,PAN-BOL,TPT,UCS,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
6000012,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,1,220,0,22,1,55,3,0,0,83,4,0,3,0,171,8,5,184,171,184
6000022,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,2,220,0,18,1,67,3,0,0,81,3,0,5,0,178,2,4,184,178,184
6000032,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,3,220,0,14,0,57,1,0,0,97,2,0,5,0,176,7,9,192,176,192
6000042,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,4,220,0,21,1,77,2,0,0,69,3,0,2,0,175,5,9,189,175,189
6000052,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,5,220,0,19,0,66,0,0,0,80,2,0,1,0,168,10,10,188,168,188
6000062,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,6,220,0,5,1,77,1,0,0,91,1,0,3,0,179,6,5,190,179,190
6000072,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,7,220,0,24,1,62,3,0,0,88,0,0,3,0,181,7,2,190,181,190
6000082,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,8,220,0,13,0,62,2,0,0,87,4,0,1,0,169,9,8,186,169,186
6000092,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,9,220,0,15,0,80,6,0,0,77,1,0,2,0,181,6,4,191,181,191
6000102,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,10,220,0,14,1,86,1,0,0,73,1,0,0,0,176,6,5,187,176,187
6000112,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1860,San Mateo,1,U.E. San Mateo,11,64,0,7,0,26,1,0,0,15,2,0,0,0,51,2,1,54,51,54
6000122,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1861,Monte Cercado,1,U.E. Monte Cercado,1,197,0,34,0,88,2,0,0,30,0,0,0,0,154,4,10,168,154,168
6000132,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,1,220,0,8,1,94,0,0,0,34,3,0,4,0,144,6,14,164,144,164
6000142,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1862,Sella Quebrada,1,U.E. Sella Quebrada,2,70,0,7,0,28,1,0,0,14,2,0,0,0,52,0,4,56,52,56
6000152,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,1,220,0,10,0,79,0,0,0,56,4,0,2,0,151,15,17,183,151,183
6000162,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1864,Yesera Norte,1,U.E. Yesera Norte,2,123,0,4,0,55,1,0,0,21,0,0,2,0,83,8,9,100,83,100
6000172,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,1,220,0,14,1,82,1,0,0,57,6,0,1,0,162,11,11,184,162,184
6000182,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1865,Yesera Centro,1,U.E. Yesera Centro,2,81,0,6,0,32,1,0,0,23,2,0,0,0,64,4,10,78,64,78
6000192,GOBERNADOR(A),32,Bolivia,6,Tarija,1,Cercado,1,Tarija,1866,Yesera Sud,1,U.E. Yesera Sud,1,220,0,21,2,75,6,0,0,40,3,0,4,0,151,18,15,184,151,184
