CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ASP,ADEPCOCA,CAOSAM,C 2000,C-A,CUMI,CICOTI,CAOTM,UN,FPV,T-INTI,J.A. LLALLA.L.P.,MACOJMA,MAYA C,MIDELUR,MAS-IPSP,MCP - NG,M.I.A.S.U.N.T.A.,MK - PC,MPS,MTS,MYP,PAN-BOL,PDC,PBCSP,UNIDOS,SOL.BO,TS,ML(MARKANAKAS LAYKU),UCS,UVA,V,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
2003232,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,403,Col. Cervantes,11,220,0,0,0,0,0,0,0,0,2,1,0,13,0,0,0,14,0,0,0,0,2,0,0,1,140,0,3,0,0,0,0,0,176,3,6,185,176,185
2003722,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3024,(Cárcel) C.O.F. Miraflores,1,54,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,1,0,0,0,9,0,2,0,0,0,0,0,30,1,0,31,30,31
2006132,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,604,Colegio Ave Maria,11,220,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,81,0,0,0,1,4,0,1,0,66,1,2,0,0,0,0,0,174,4,7,185,174,185
2006162,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,604,Colegio Ave Maria,14,220,1,0,0,0,2,0,0,0,0,4,0,22,0,0,0,44,0,0,0,1,3,0,1,0,97,1,3,0,0,0,0,1,180,4,5,189,180,189
2006172,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,604,Colegio Ave Maria,15,220,0,0,0,0,2,0,0,0,4,3,0,14,0,0,0,56,0,0,0,1,2,0,0,0,78,0,5,0,0,0,0,0,165,7,10,182,165,182
2006612,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,606,Colegio Ave Maria,3,220,1,0,0,0,2,0,0,0,0,7,0,26,0,0,0,59,0,0,0,0,4,0,1,0,73,0,4,0,0,0,0,1,178,5,17,200,178,200
2009592,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1002,Escuela Pedro Poveda,11,220,0,0,0,0,1,0,0,0,3,1,0,10,0,0,0,58,0,0,0,1,5,0,0,1,98,1,2,0,0,0,0,0,181,3,4,188,181,188
2012122,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25337,U.E. Gran Bretaña,6,146,0,0,0,0,1,0,0,0,7,0,0,5,0,0,0,20,0,0,0,0,5,0,0,0,79,0,4,0,0,0,0,1,122,3,3,128,122,128
2012262,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1101,U. E. Ff. Aa. De La Nación,5,220,1,0,0,0,0,0,0,0,4,0,0,13,0,0,0,73,0,0,0,0,2,0,0,0,83,0,1,0,0,0,0,0,177,3,1,181,177,181
2012342,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1101,U. E. Ff. Aa. De La Nación,13,220,0,0,0,0,0,0,0,0,4,1,0,25,0,0,0,88,0,0,0,0,4,0,0,0,61,0,1,0,0,0,0,0,184,5,2,191,184,191
2013022,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1103,Escuela Victor Paz Estensoro,16,220,1,0,0,0,0,0,0,0,1,0,0,21,0,0,0,72,0,0,0,0,9,0,0,0,87,0,4,0,0,0,0,0,195,1,1,197,195,197
2013352,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1201,Colegio Franco Boliviano,18,220,0,0,0,0,0,0,0,0,3,1,0,9,0,0,0,15,0,0,0,0,4,0,0,0,125,0,2,0,0,0,0,0,159,3,6,168,159,168
2013702,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25729,U.E. Cesar Patiño,4,122,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,15,0,0,0,0,0,0,0,0,63,1,3,0,0,0,0,0,93,1,6,100,93,100
2013932,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1202,Escuela Alto Achumani,23,220,0,0,0,0,0,0,0,0,4,0,0,23,0,0,0,48,0,0,0,0,1,0,1,0,95,0,1,0,0,0,0,1,174,2,5,181,174,181
2014142,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25730,U.E. Pantini,2,67,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,33,0,0,0,0,3,0,0,0,6,1,0,0,0,0,0,0,54,2,5,61,54,61
2014472,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1204,Colegio Rene Barrientos,14,220,0,0,0,0,1,0,0,0,5,1,0,7,0,0,0,15,0,0,0,0,3,0,0,0,122,0,2,0,0,0,0,0,156,1,6,163,156,163
2014492,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1204,Colegio Rene Barrientos,16,220,0,0,0,0,2,0,0,0,1,0,0,13,0,0,0,18,0,0,0,1,4,0,1,0,124,0,3,0,0,0,0,0,167,2,2,171,167,171
2014912,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1303,Unidad Educativa Los Pinos,3,220,0,0,0,0,1,0,0,0,9,0,0,10,0,0,0,14,0,0,0,2,6,0,0,0,122,0,2,0,0,0,0,0,166,3,3,172,166,172
2014972,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1303,Unidad Educativa Los Pinos,9,220,0,0,0,0,2,0,0,0,4,1,0,4,0,0,0,17,0,0,0,0,1,0,0,0,137,0,6,0,0,0,0,0,172,3,4,179,172,179
2015802,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1403,U.E. Betesta,10,220,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,90,0,0,0,0,1,0,0,0,66,1,3,0,0,0,0,0,183,8,11,202,183,202
2015832,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1403,U.E. Betesta,13,220,0,0,0,0,0,0,0,0,1,3,0,20,0,0,0,90,0,0,0,0,8,0,1,0,60,0,2,0,0,0,0,0,185,5,10,200,185,200
2016332,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25728,U.E. Bolivian High School,1,220,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,77,0,0,0,0,6,0,0,1,81,0,2,0,0,0,0,0,185,3,5,193,185,193
2016682,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25031,Centro de Capacitacion Inti Paxsi,9,220,1,0,0,0,0,0,0,0,4,1,0,16,0,0,0,81,0,0,0,1,2,0,0,0,78,1,2,0,0,0,0,1,188,6,5,199,188,199
2018282,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1703,"U.E. San Fernando """"A""""",3,220,0,0,0,0,1,0,0,0,1,1,0,16,0,0,0,43,0,0,0,0,7,0,1,0,117,0,0,0,0,0,0,0,187,1,3,191,187,191
2019022,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1708,Col. Amor de Dios,2,220,0,0,0,0,3,0,0,0,2,1,0,3,0,0,0,15,0,0,0,0,1,0,0,1,132,0,5,0,0,0,0,2,165,4,8,177,165,177
2019032,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1708,Col. Amor de Dios,3,220,5,0,0,0,1,0,0,0,2,0,0,9,0,0,0,22,0,0,0,0,1,0,0,1,119,1,3,0,0,0,0,0,164,3,4,171,164,171
2022562,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2103,Esc. Alcides Arguedas,2,220,0,0,0,0,1,0,0,0,1,2,0,21,0,0,0,48,0,0,0,0,4,0,0,0,105,1,1,0,0,0,0,0,184,1,4,189,184,189
2022572,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2103,Esc. Alcides Arguedas,3,220,0,0,0,0,1,0,0,0,2,3,0,27,0,0,0,52,0,0,0,2,5,0,0,0,87,1,4,0,0,0,0,1,185,4,8,197,185,197
2022602,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2103,Esc. Alcides Arguedas,6,167,1,0,0,0,1,0,0,0,2,2,0,17,0,0,0,45,0,0,0,1,2,0,0,0,66,0,0,0,0,0,0,2,139,2,3,144,139,144
2026832,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2601,Colegio Max Toledo,8,220,1,0,0,0,0,0,0,0,2,2,0,21,0,0,0,54,0,0,0,0,11,0,0,1,88,0,3,0,0,0,0,1,184,9,5,198,184,198
2028972,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2903,Escuela Republica del Brasil,1,220,0,0,0,0,1,0,0,0,8,1,0,14,0,0,0,55,0,0,0,0,4,0,0,0,92,1,6,0,0,0,0,2,184,1,8,193,184,193
2028982,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,2903,Escuela Republica del Brasil,2,220,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,46,0,0,0,0,5,0,0,0,114,0,3,0,0,0,0,1,179,3,5,187,179,187
2029952,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3004,Col. Luis Velasco Flores,4,220,1,0,0,0,2,0,0,0,3,2,0,41,0,0,0,100,0,0,0,0,4,0,0,1,33,1,2,0,0,0,0,1,191,5,11,207,191,207
2031842,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,4,Achocalla,2778,Marquirivi (Murillo),1,U. E. Marquirivi,6,220,3,0,0,0,0,0,0,0,0,0,0,24,0,0,0,104,0,0,0,0,12,0,5,0,14,3,3,0,0,0,0,1,169,22,7,198,169,198
2039962,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,5,El Alto,820,El Alto,803,Unidad Educativa Brasilia,21,91,0,0,0,0,1,0,0,0,0,1,0,31,0,0,0,17,0,0,0,0,2,0,1,0,24,0,0,0,0,0,0,2,79,4,2,85,79,85
2003232,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,403,Col. Cervantes,11,220,1,0,0,0,1,0,0,0,0,3,0,10,0,0,0,13,0,0,0,0,0,0,0,0,117,0,10,0,0,0,0,0,155,26,4,185,155,185
2003722,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3024,(Cárcel) C.O.F. Miraflores,1,54,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,23,7,1,31,23,31
2006132,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,604,Colegio Ave Maria,11,220,1,0,0,0,3,0,0,0,0,0,0,14,0,0,0,66,0,0,0,2,3,0,2,0,49,1,2,0,0,0,0,1,144,34,7,185,144,185
2006162,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,604,Colegio Ave Maria,14,220,1,0,0,0,5,0,0,0,1,1,0,13,0,0,0,41,0,0,0,3,2,0,3,0,71,0,7,0,0,0,0,2,150,36,3,189,150,189
2006172,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,604,Colegio Ave Maria,15,220,0,0,0,0,7,0,0,0,0,3,0,9,0,0,0,39,0,0,0,1,2,0,1,0,71,0,6,0,0,0,0,0,139,33,10,182,139,182
2006612,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,606,Colegio Ave Maria,3,220,2,0,0,0,5,0,0,0,0,1,0,21,0,0,0,49,0,0,0,0,3,0,0,0,65,0,5,0,0,0,0,1,152,35,13,200,152,200
2009592,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1002,Escuela Pedro Poveda,11,220,1,0,0,0,6,0,0,0,1,1,0,10,0,0,0,53,0,0,0,3,3,0,1,0,80,1,1,0,0,0,0,0,161,20,7,188,161,188
2012122,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25337,U.E. Gran Bretaña,6,146,1,0,0,0,3,0,0,0,1,0,0,6,0,0,0,21,0,0,0,4,1,0,1,0,69,0,4,0,0,0,0,2,113,12,3,128,113,128
2012262,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1101,U. E. Ff. Aa. De La Nación,5,220,0,0,0,0,1,0,0,0,2,0,0,10,0,0,0,64,0,0,0,1,1,0,0,0,77,0,3,0,0,0,0,1,160,19,2,181,160,181
2012342,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1101,U. E. Ff. Aa. De La Nación,13,220,1,0,0,0,6,0,0,0,2,0,0,21,0,0,0,78,0,0,0,2,4,0,0,0,44,1,2,0,0,0,0,0,161,29,1,191,161,191
2013022,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1103,Escuela Victor Paz Estensoro,16,220,5,0,0,0,2,0,0,0,0,0,0,16,0,0,0,56,0,0,0,0,5,0,0,0,81,0,5,0,0,0,0,0,170,26,1,197,170,197
2013352,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,1201,Colegio Franco Boliviano,18,220,2,0,0,0,1,0,0,0,2,0,0,7,0,0,0,14,0,0,0,1,5,0,0,0,112,0,5,0,0,0,0,0,149,15,4,168,149,168
2013702,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25729,U.E. Cesar Patiño,4,122,0,0,0,0,1,0,0,0,1,1,0,7,0,0,0,15,0,0,0,0,0,0,0,0,55,0,4,0,0,0,0,0,84,8,8,100,84,100
