CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ASP,ADEPCOCA,CAOSAM,C 2000,C-A,CUMI,CICOTI,CAOTM,UN,FPV,T-INTI,J.A. LLALLA.L.P.,MACOJMA,MAYA C,MIDELUR,MAS-IPSP,MCP - NG,M.I.A.S.U.N.T.A.,MK - PC,MPS,MTS,MYP,PAN-BOL,PDC,PBCSP,UNIDOS,SOL.BO,TS,ML(MARKANAKAS LAYKU),UCS,UVA,V,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
2000022,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Esc. Ind. Pedro Domingo Murillo,2,220,1,0,0,0,1,0,0,0,3,1,0,11,0,0,0,67,0,0,0,1,5,0,0,0,91,0,1,0,0,0,0,0,182,3,6,191,182,191
2000052,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Esc. Ind. Pedro Domingo Murillo,5,220,0,0,0,0,0,0,0,0,7,0,0,27,0,0,0,71,0,0,0,1,8,0,0,0,65,0,3,0,0,0,0,0,182,7,6,195,182,195
2000062,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Esc. Ind. Pedro Domingo Murillo,6,220,0,0,0,0,0,0,0,0,1,2,0,24,0,0,0,93,0,0,0,0,8,0,1,0,60,1,1,0,0,0,0,2,193,4,5,202,193,202
2000132,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Esc. Ind. Pedro Domingo Murillo,13,220,1,0,0,0,3,0,0,0,5,1,0,22,0,0,0,51,0,0,0,0,11,0,1,2,86,0,1,0,0,0,0,0,184,5,6,195,184,195
2000142,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Esc. Ind. Pedro Domingo Murillo,14,220,1,0,0,0,1,0,0,0,4,2,0,20,0,0,0,67,0,0,0,0,4,0,0,1,80,0,4,0,0,0,0,1,185,2,7,194,185,194
2000162,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Esc. Ind. Pedro Domingo Murillo,16,220,1,0,0,0,0,0,0,0,3,0,0,27,0,0,0,63,0,0,0,0,5,0,0,0,77,0,3,0,0,0,0,1,180,7,3,190,180,190
2000172,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Esc. Ind. Pedro Domingo Murillo,17,220,1,0,0,0,1,0,0,0,4,0,0,27,0,0,0,69,0,0,0,0,8,0,0,0,81,2,1,0,0,0,0,2,196,2,4,202,196,202
2000192,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Esc. Ind. Pedro Domingo Murillo,19,220,0,0,0,0,0,0,0,0,3,2,0,10,0,0,0,56,0,0,0,0,7,0,2,0,92,0,2,0,0,0,0,2,176,6,2,184,176,184
2000232,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,Esc. Educacional Luis  Ernest,1,220,0,0,0,0,0,0,0,0,4,1,0,23,0,0,0,46,0,0,0,0,6,0,1,0,105,0,3,0,0,0,0,1,190,3,6,199,190,199
2000242,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,102,Esc. Educacional Luis  Ernest,2,220,1,0,0,0,0,0,0,0,2,2,0,25,0,0,0,55,0,0,0,2,5,0,2,0,88,0,3,0,0,0,0,2,187,2,4,193,187,193
