CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ASP,ADEPCOCA,CAOSAM,C 2000,C-A,CUMI,CICOTI,CAOTM,UN,FPV,T-INTI,J.A. LLALLA.L.P.,MACOJMA,MAYA C,MIDELUR,MAS-IPSP,MCP - NG,M.I.A.S.U.N.T.A.,MK - PC,MPS,MTS,MYP,PAN-BOL,PDC,PBCSP,UNIDOS,SOL.BO,TS,ML(MARKANAKAS LAYKU),UCS,UVA,V,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
2000142,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Esc. Ind. Pedro Domingo Murillo,14,220,1,0,0,0,1,0,0,0,4,2,0,20,0,0,0,67,0,0,0,0,4,0,0,1,80,0,4,0,0,0,0,1,185,2,7,194,185,194
2000172,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Esc. Ind. Pedro Domingo Murillo,17,220,1,0,0,0,1,0,0,0,4,0,0,27,0,0,0,69,0,0,0,0,8,0,0,0,81,2,1,0,0,0,0,2,196,2,4,202,196,202
2000192,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,101,Esc. Ind. Pedro Domingo Murillo,19,220,0,0,0,0,0,0,0,0,3,2,0,10,0,0,0,56,0,0,0,0,7,0,2,0,92,0,2,0,0,0,0,2,176,6,2,184,176,184
2000362,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,Unidad Educativa Litoral A,4,220,0,0,0,0,0,0,0,0,3,2,0,26,0,0,0,73,0,0,0,1,5,0,0,1,59,1,8,0,0,0,0,1,180,7,11,198,180,198
2000412,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,Unidad Educativa Litoral A,9,220,2,0,0,0,0,0,0,0,7,1,0,22,0,0,0,69,0,0,0,0,8,0,0,1,45,1,5,0,0,0,0,1,162,12,7,181,162,181
2000422,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,Unidad Educativa Litoral A,10,220,0,0,0,0,2,0,0,0,1,4,0,33,0,0,0,70,0,0,0,0,8,0,1,0,65,0,5,0,0,0,0,0,189,9,4,202,189,202
2000472,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,Unidad Educativa Litoral A,15,220,1,0,0,0,0,0,0,0,1,2,0,12,0,0,0,64,0,0,0,0,10,0,2,1,85,1,4,0,0,0,0,1,184,3,5,192,184,192
2000482,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,103,Unidad Educativa Litoral A,16,220,1,0,0,0,0,0,0,0,1,3,0,21,0,0,0,58,0,0,0,1,12,0,0,0,76,1,2,0,0,0,0,0,176,5,8,189,176,189
2002112,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,30037,U.E. Vicenta Juariste Eguino (Temporal),2,220,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,46,0,0,0,0,4,0,1,1,108,0,1,0,0,0,0,2,175,2,6,183,175,183
2002122,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,30037,U.E. Vicenta Juariste Eguino (Temporal),3,220,1,0,0,0,0,0,0,0,3,2,0,11,0,0,0,35,0,0,0,0,6,0,0,0,107,0,4,0,0,0,0,0,169,4,7,180,169,180
2002442,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3017,Unidad Educativa Republica de China,9,220,1,0,0,0,0,0,0,0,4,2,0,22,0,0,0,50,0,0,0,0,8,0,1,1,77,1,3,0,0,0,0,1,171,5,12,188,171,188
