CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,ASP,ADEPCOCA,CAOSAM,C 2000,C-A,CUMI,CICOTI,CAOTM,UN,FPV,T-INTI,J.A. LLALLA.L.P.,MACOJMA,MAYA C,MIDELUR,MAS-IPSP,MCP - NG,M.I.A.S.U.N.T.A.,MK - PC,MPS,MTS,MYP,PAN-BOL,PDC,PBCSP,UNIDOS,SOL.BO,TS,ML(MARKANAKAS LAYKU),UCS,UVA,V,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
2003722,GOBERNADOR(A),32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3024,(Cárcel) C.O.F. Miraflores,1,54,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,1,0,0,0,9,0,2,0,0,0,0,0,30,1,0,31,30,31
2003722,ASAMBLEISTA TERRITORIO,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3024,(Cárcel) C.O.F. Miraflores,1,54,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,23,7,1,31,23,31
2003722,ASAMBLEISTA POBLACION,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3024,(Cárcel) C.O.F. Miraflores,1,54,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,16,15,0,31,16,31
2003726,ALCALDESA/ALCALDE,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3024,(Cárcel) C.O.F. Miraflores,1,54,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,1,0,0,0,0,12,0,1,0,0,0,0,1,30,0,1,31,30,31
2014136,ALCALDESA/ALCALDE,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25730,U.E. Pantini,1,220,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,128,0,0,0,6,4,0,0,0,20,4,1,0,0,2,0,0,174,16,15,205,174,205
2014146,ALCALDESA/ALCALDE,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25730,U.E. Pantini,2,67,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,40,0,0,0,1,1,0,0,0,8,0,1,0,0,1,0,0,54,3,4,61,54,61
2017366,ALCALDESA/ALCALDE,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3029,(Cárcel) C.O.F. Obrajes,1,177,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,35,0,0,0,3,1,0,0,0,67,0,4,0,0,2,0,1,126,8,2,136,126,136
2003726,CONCEJALES,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3024,(Cárcel) C.O.F. Miraflores,1,54,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,22,9,0,31,22,31
2014136,CONCEJALES,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25730,U.E. Pantini,1,220,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,94,0,0,0,4,1,0,0,0,10,0,1,0,0,1,0,1,119,77,9,205,119,205
2014146,CONCEJALES,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,25730,U.E. Pantini,2,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,43,15,3,61,43,61
2017366,CONCEJALES,32,Bolivia,2,La Paz,1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,3029,(Cárcel) C.O.F. Obrajes,1,177,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,23,0,0,0,2,0,0,0,0,40,0,4,0,0,0,0,1,80,55,1,136,80,136
